video_name,shooting_arm,S_avg_knee_bend,S_max_knee_bend,S_avg_body_lean,S_max_body_lean,S_min_body_lean,S_frame_count,R_avg_hip_angle,R_avg_knee_bend,R_avg_elbow_angle,R_max_wrist_height,R_avg_knee_velocity,R_frame_count,F_release_angle,F_elbow_above_eye,F_body_lean_angle,F_hip_angle,F_knee_angle,y
MISS-AD-3.mov,RIGHT,138.408015070837,136.25137427315047,5.8834084632139465,6.911342802417736,4.592856605493759,6,169.73255725986178,154.14508032965563,116.9694953234551,3.108270971855229,136.9635507805205,7,49,-1.8738103011821876,-1.4759137381954912,179.93495139713963,168.2442038972207,0
MISS-AD-2.mov,RIGHT,139.63284032220065,134.3569852156681,8.214320438998651,10.51459839865186,4.617686672733954,9,167.97244031834342,152.64672121085596,126.65322844460678,3.2019817380024924,128.65960504798426,6,51,-2.854431318176864,-1.3636691470155045,178.20652329498202,164.94238452889908,0
MISS-17.mov,RIGHT,162.04320316535976,153.59019759821746,7.788822897164128,8.855357015644463,6.420756856441922,6,175.85701474931193,178.53707930109,143.82674532592137,2.6420083343339873,-11.750450403819173,3,49,-4.97255985021325,7.229157553324027,177.28291541198598,177.9079018246847,0
MISS-29.mov,RIGHT,123.5284137217962,118.35298852412012,9.05652524023366,10.62906416990458,7.779032845233131,8,165.24038037478658,142.8297861337857,102.58981666102544,3.361612286622366,141.33602936872435,12,40,-7.991185541586766,0.1345242755969131,179.17266040522372,172.10182440936683,0
MISS-2.mov,RIGHT,153.3478533131133,151.9160575007329,-0.0188002356469795,1.4879984928211525,-2.195422215000731,6,173.2708920604831,158.19994599993294,106.43486371434852,5.284369915092194,69.39720123928427,11,56,12.666235087394805,-3.6665018742884534,178.1865657780678,174.16910241193872,0
MISS-AD-1.mov,RIGHT,141.0136180763367,139.6725602298253,6.103752390238253,7.526879852756286,4.025500319447766,6,170.3218454447706,154.53415457856664,116.18375755112451,3.1324323584795364,114.79469735084108,7,48,-4.355574128937412,-2.265158538403873,179.11489487495285,166.81739774679346,0
MISS-3.mov,RIGHT,154.8208767753478,152.5228450559446,-0.0225519092543457,1.48059872360297,-1.4104713908039177,5,171.50018882516355,159.0067406216076,110.66908189608176,4.587911510180927,62.433912214880934,11,63,7.4310614230066685,-3.001381310790544,179.51307017904557,172.8696971534722,0
MISS-14.mov,RIGHT,140.63695778963935,138.56874939075556,12.76478217615464,13.012712668998402,12.371591353600088,6,162.77306510007895,154.71041205368692,123.48034791887584,4.229177623297148,131.43655902515442,8,60,6.83034772226586,2.9952395353538295,176.70636539639415,170.42975542059412,0
MISS-28.mov,RIGHT,120.21466262119743,117.5899309188786,5.394743527923352,6.737257642095745,3.8919795402607416,7,170.78246202062644,147.94954187704988,100.8093528160806,2.560426746110824,161.52950144287516,11,39,-13.878633342185609,0.3523360070313482,178.66183723266477,175.5244231488715,0
MISS-10.mov,RIGHT,139.37926846845076,138.27290420314284,12.91481081702712,14.653354650624545,11.82603975464251,6,162.90388388290413,154.92470614545698,120.09657867378732,4.895932826184223,126.41262148136695,9,66,12.42998847863598,2.6600342835956634,178.01190810726038,173.32947644824873,0
MISS-38.mov,RIGHT,141.36091056187036,135.44269292342295,11.174300190778082,13.423480577164446,7.111531943683468,12,165.50631853568146,157.8787840049945,146.59937153932643,3.8542740848777663,148.99888290121666,3,64,2.9336674531028466,6.150203384119408,168.97895621215483,162.6828276975327,0
MISS-7.mov,RIGHT,141.86558494386009,139.6836685558416,13.08750083313362,14.115656971146162,11.44591017400282,6,163.17454470644932,154.80662421239995,122.28032163996198,5.210643262591315,104.27831808490572,9,63,14.448856007297566,1.6429504078207608,176.97075491689571,169.69636866530374,0
MISS-AD-5.mov,RIGHT,140.903367664391,138.97071754238942,5.339920495852204,7.262588053454943,2.7764164927432446,7,170.62356134860073,153.3690736025899,110.35406696450094,2.570367803775574,116.40426642584951,6,41,-12.820955081934017,-2.288764181274012,179.19729737636166,163.25849479932077,0
MISS-AD-4.mov,RIGHT,144.8584088491127,142.89884764550314,3.49024030355278,4.30652407196865,1.8147732676915844,7,172.75526840135583,156.3813205680149,119.18055577279692,3.1791157089448014,101.38693666064894,7,48,-3.25423641201971,-2.7863104357639146,178.8896609003096,166.7475024476339,0
MISS-6.mov,RIGHT,141.52793756744245,139.39398069282913,12.265602910297856,13.418306375902038,11.257182659374696,6,161.0395063092464,153.59091332257603,122.8449711229442,4.750182552835607,96.74980364820809,8,66,9.760761542016471,2.843560917288284,173.49227890521558,166.43157761312062,0
MISS-39.mov,RIGHT,148.60615851471468,145.2732763799766,7.9846471951389875,8.896005932763842,5.263514323149098,10,166.78264762216904,156.63191137771744,123.32807015955648,3.703824165073363,135.0638315898975,3,52,-6.233076288107013,3.8059386457129234,170.39864627195357,161.31291415979337,0
MISS-11.mov,RIGHT,138.99004962336008,136.9113769656406,10.968805100442216,11.527981142434454,10.613145652147448,6,163.80294274525647,157.69797445740755,125.75458662615812,5.016932962294013,135.91475997687164,8,64,13.828083953246258,3.7279726914233184,175.67007709796505,171.78686179971243,0
MISS-13.mov,RIGHT,139.16498814305933,136.8793996861001,11.647507988163213,11.906366326777452,11.172001957958102,5,163.27290642871628,154.04561549722428,123.82628936468171,5.067988069190439,122.7341082643442,9,65,12.50085146348512,1.9863459022683416,178.59004919212808,171.46658523754047,0
MISS-4.mov,RIGHT,151.98932187862547,151.4739275395089,-0.5653447998536786,0.3173883271272198,-2.1145302474891605,5,172.8364116163465,159.39416309639213,116.8407632174922,5.268786515832113,58.42249238624541,12,58,9.23921298495492,-4.4296173103684975,177.90949395967587,173.13282186999254,0
MISS-AD-6.mov,RIGHT,140.22675975548466,137.00799023066222,4.7934543239925365,6.349265965893109,2.631579760366054,7,170.43987385068905,153.05263477759547,122.5099606178598,3.1715321419530804,113.28753477278742,6,49,-4.198829964670817,-2.302899507388004,178.89311540249983,163.20313256984772,0
MISS-AD-7.mov,RIGHT,147.93469424018946,146.56231208939707,4.0260601532748765,5.280324609246603,2.014045314577788,7,173.7714761196116,158.83827083284766,115.37076425090258,2.561437387096996,105.91080847419676,6,46,-6.223709115743181,-1.2099372095603456,179.80338445239087,167.6795454791615,0
MISS-5.mov,RIGHT,149.29240484001022,144.12662481286594,-4.751092103215867,0.0,-5.456158111417798,6,173.39382761434257,155.03308560240535,107.6424302087465,3.592875945824348,104.38418321696491,10,52,-2.656728014622369,-6.353534788223976,174.4740770400021,174.73447203722702,0
MISS-12.mov,RIGHT,137.80622429103843,135.35689972358188,11.604863463266122,11.952311673290245,11.19123593588208,6,163.92339610266362,155.28927666976614,124.76295286778765,4.306163006415372,134.78926009852654,8,64,7.228771751634936,3.1284714904646913,176.5818980934806,171.29909252164964,0
MISS-20.mov,RIGHT,170.23525084809876,164.47679195937081,3.59994467929607,4.474839585923366,2.800268774773125,5,176.74704828781074,179.43763545792694,143.79354200989127,1.51247826346082,-7.758632447087166,2,40,-11.702884518745819,6.001109201336444,177.06941817174584,179.30832491714216,0
MISS-19.mov,RIGHT,168.40897648282035,163.21721765039558,5.111132664980889,5.75866346209305,4.785523689331858,6,175.4473893513623,178.9979878619287,150.33154909495434,3.0478953336566565,4.8212658456402835,3,52,-0.8199998740299492,6.228806433187526,176.4037745580626,178.84676100859588,0
MISS-15.mov,RIGHT,170.16337737882355,164.5987889404014,3.4415266605113617,3.782836517217646,3.19396220497216,4,176.39388194255181,178.72697307281635,152.0339494280553,2.236064878992027,13.611484952792097,3,47,-3.6303443033269884,5.678738795211954,177.09228707033193,178.93765901769225,0
